Date,Shanghai Composite,ASX 200,BSE Sensex,Dow Jones,CAC 40,FTSE 100,DAX,S&P 500,Hang Seng,NASDAQ,Nikkei 225
2010-02-24,3022.177001953125,4648.5,16255.9697265625,10374.16015625,3715.679931640625,5342.89990234375,5615.509765625,1105.239990234375,20467.740234375,2235.89990234375,10198.830078125
2010-02-25,3060.617919921875,4594.10009765625,16254.2001953125,10321.0302734375,3640.77001953125,5278.2001953125,5532.330078125,1102.93994140625,20399.5703125,2234.219970703125,10101.9599609375
2010-02-26,3051.943115234375,4637.7001953125,16429.55078125,10325.259765625,3708.800048828125,5354.5,5598.4599609375,1104.489990234375,20608.69921875,2238.260009765625,10126.0302734375
2010-03-01,3087.842041015625,4686.5,,10403.7900390625,3769.5400390625,5405.89990234375,5713.509765625,1115.7099609375,21056.9296875,2273.570068359375,10172.0595703125
2010-03-02,3073.10791015625,4701.89990234375,16772.560546875,10405.98046875,3811.919921875,5484.10009765625,5776.56005859375,1118.31005859375,20906.109375,2280.7900390625,10221.83984375
2010-03-03,3097.0048828125,4735.7001953125,17000.009765625,10396.759765625,3842.52001953125,5533.2001953125,5817.8798828125,1118.7900390625,20876.7890625,2280.679931640625,10253.1396484375
2010-03-04,3023.373046875,4750.5,16971.69921875,10444.1396484375,3828.409912109375,5527.2001953125,5795.31982421875,1122.969970703125,20575.779296875,2292.31005859375,10145.7197265625
2010-03-05,3031.06494140625,4767.2001953125,16994.490234375,10566.2001953125,3910.419921875,5599.7998046875,5877.35986328125,1138.699951171875,20787.970703125,2326.35009765625,10368.9599609375
2010-03-08,3053.23193359375,4807.89990234375,17102.599609375,10552.51953125,3903.5400390625,5606.7001953125,5875.91015625,1138.5,21196.869140625,2332.2099609375,10585.919921875
2010-03-09,3069.14111328125,4820.10009765625,17052.5390625,10564.3798828125,3910.010009765625,5602.2998046875,5885.89013671875,1140.449951171875,21207.55078125,2340.679931640625,10567.650390625
2010-03-10,3048.927001953125,4820.0,17098.330078125,10567.330078125,3943.550048828125,5640.60009765625,5936.72021484375,1145.6099853515625,21208.2890625,2358.949951171875,10563.919921875
2010-03-11,3051.281982421875,4814.2001953125,17167.9609375,10611.83984375,3928.949951171875,5617.2998046875,5928.6298828125,1150.239990234375,21228.19921875,2368.4599609375,10664.9501953125
2010-03-12,3013.412109375,4818.10009765625,17166.619140625,10624.6904296875,3927.39990234375,5625.7001953125,5945.10986328125,1149.989990234375,21209.740234375,2367.659912109375,10751.259765625
2010-03-15,2976.93896484375,4784.10009765625,17164.990234375,10642.150390625,3890.909912109375,5593.89990234375,5903.56005859375,1150.510009765625,21079.099609375,2362.2099609375,10751.98046875
2010-03-16,2992.841064453125,4797.2001953125,17383.1796875,10685.98046875,3938.949951171875,5620.39990234375,5970.990234375,1159.4599609375,21022.9296875,2378.010009765625,10721.7099609375
2010-03-17,3050.47900390625,4853.2001953125,17490.080078125,10733.669921875,3957.889892578125,5644.60009765625,6024.27978515625,1166.2099609375,21384.490234375,2389.090087890625,10846.98046875
