time,open,high,low,close
1241661600,357.98999023,364.45001221,357.98999023,363.8500061
1241748000,363.92001343,370.67999268,363.92001343,366.22000122
1242007200,371.32998657,376.92001343,370.35998535,372.95001221
1242093600,374.10998535,382.04998779,371.11999512,381.97000122
1242180000,382.66000366,386.29998779,378.25,378.25
1242266400,372.48999023,376.75,368.05999756,376.75
1242352800,379.36999512,390.16000366,379.36999512,390.16000366
1242612000,390.35998535,395.44000244,390.35998535,390.8500061
1242698400,399.64001465,404.3500061,399.32000732,400.8999939
1242784800,402.36999512,412.20999146,402.36999512,410.38000488
1242871200,410.8999939,416.8999939,410.8999939,412.51000977
1242957600,408.26000977,410.33999634,400.92999268,404.57998657
1243216800,409.45001221,422.05999756,409.45001221,421.75
1243303200,425.07998657,429.92001343,423.95999146,425.02999878
1243389600,426.51000977,431.39001465,423.20001221,425.17001343
1243476000,421.88000488,421.8999939,414.67999268,415.45001221
1243562400,419.42999268,420.29998779,409,411.64001465
1243821600,418.75,427.63000488,418.44000244,426.42999268
1243908000,436.04000854,446.07998657,436.04000854,440.55999756
1243994400,443.22000122,447.32998657,442.54998779,444.79000854
1244080800,446.17999268,458.42999268,446.17999268,458.19000244
1244167200,464.66000366,479.16000366,464.66000366,478.72000122
1244426400,488.98001099,501.48999023,488.98001099,501.48999023
1244512800,503.6499939,514.72998047,503.6499939,512.46002197
1244599200,509.10998535,510.26000977,494.6000061,497.51000977
1244685600,499.67999268,514.38000488,499.67999268,511.26998901
1244772000,520.2800293,525.2199707,509.05999756,509.58999634
1245031200,506,506,487.26998901,493.51998901
1245117600,477.51998901,477.51998901,471.07000732,471.97000122
1245204000,465.32000732,472.47000122,455.77999878,472.47000122
1245290400,476.55999756,487.60998535,474.69000244,479.26998901
1245376800,485.82000732,486.86999512,472.10998535,475.22000122
1245636000,458.35998535,458.47000122,458.10998535,458.10998535
1245722400,442.45999146,442.45999146,437.44000244,438.54998779
1245808800,440.70001221,457.48999023,440.70001221,456.22000122
1245895200,471.36999512,471.36999512,453.27999878,453.76000977
1245981600,453.42001343,461.36999512,453.30999756,461.36999512
1246240800,461.98999023,465.98999023,459.69000244,460.42001343
1246327200,462.51000977,462.51000977,447.6499939,448.29000854
1246413600,439.57998657,439.57998657,429.45999146,430
1246500000,427.89001465,436.91000366,422.3500061,433.79000854
1246586400,425.10998535,435.44000244,425.10998535,435.44000244
1246845600,442.3999939,454.26998901,442.29000854,454.26998901
1246932000,450.48001099,455.3999939,446.92999268,447.63000488
1247018400,442.98999023,448.95999146,440.23001099,446.79000854
1247104800,450.11999512,452.07998657,445.42999268,446.3999939
1247191200,445.82000732,445.98001099,437.32998657,438.82998657
1247450400,435.82998657,435.82998657,426.67001343,426.67001343
1247536800,425.08999634,425.47000122,415.80999756,418.54998779
1247623200,424.1000061,430.77999878,424.1000061,427.04998779
1247709600,438.07000732,440.42999268,432.22000122,433.47000122
1247796000,431.94000244,431.94000244,427.75,428.67001343
1248055200,415.29000854,415.30999756,411.39001465,412.88000488
1248141600,412.97000122,418.22000122,412.23001099,416.42999268
1248228000,423.3999939,423.3999939,419.07998657,419.48001099
1248314400,417.6499939,434.20001221,417.20999146,434.20001221
1248400800,444.95999146,454.70999146,444.95999146,454.70999146
1248660000,462.25,470.19000244,460.22000122,469.70999146
1248746400,467.33999634,472.57998657,462.67999268,462.98001099
1248832800,464.39001465,470.23001099,458.04000854,458.04000854
1248919200,451.79998779,455.23001099,444.95001221,451.91000366
1249005600,457.54998779,466.76000977,457.54998779,466.76000977
1249264800,466.82000732,473.25,465.35998535,467.92999268
1249351200,475.08999634,477.60998535,472.64001465,476.58999634
1249437600,474.38000488,481.29000854,472.32998657,481.29000854
1249524000,481.60998535,490.98999023,481.26998901,481.44000244
1249610400,480.42001343,483.45999146,478.64001465,480.6499939
1249869600,485.92001343,492.32998657,483.67999268,491.20001221
1249956000,490.95999146,494.67999268,490.45999146,494.17001343
1250042400,498.76000977,501.57000732,496.79998779,497.16000366
1250128800,501.98999023,506.6000061,501.98999023,503.57998657
1250215200,503.70001221,509.26998901,502.6499939,506.98999023
1250474400,505.48999023,508.51000977,500.07998657,500.07998657
1250560800,496.79000854,501.63000488,495.45999146,499.69000244
1250647200,505,508.45999146,503.35998535,508.45999146
1250733600,513.84002686,515.23999023,510.3999939,513.90002441
1250820000,522.10998535,530.45001221,519.16998291,519.16998291
1251079200,522.15002441,528.84002686,522.15002441,528.20001221
1251165600,532.01000977,532.90997314,527.03997803,528.84997559
1251252000,529.9699707,532.73999023,525.95001221,525.95001221
1251338400,527.13000488,529.66998291,523.17999268,527.03997803
1251424800,533.60998535,536.5300293,530.65997314,536.5300293
1251684000,541.89001465,547.38000488,541.89001465,546.7800293
1251770400,545.04998779,549.59002686,542.40997314,547.69000244
1251943200,541,548.38000488,539.4699707,540.80999756
1252029600,543.01000977,544.30999756,528.48999023,528.48999023
1252288800,528.15997314,528.15997314,513.48999023,524.51000977
1252375200,529.96002197,538.59002686,529.76000977,537.80999756
1252461600,539.90002441,542,536.10998535,536.10998535
1252548000,535.52001953,541.90002441,535.39001465,540.19000244
1252634400,548.98999023,549.61999512,547.84002686,547.98999023
1252893600,551.70001221,559.71002197,551.70001221,556.59002686
1252980000,558.42999268,562.22998047,553.29998779,556.75
1253066400,560.46002197,562.48999023,556.97998047,556.97998047
1253152800,559.34997559,564.22998047,553.20001221,561.19000244
1253239200,561.65997314,571.01000977,561.65997314,571.01000977
1253498400,578.32000732,581.01000977,577.96002197,577.9699707
1253584800,578.64001465,585.51000977,577.86999512,582.84997559
1253671200,587.40002441,594.32000732,582.10998535,582.10998535
1253757600,576.83001709,583.64001465,572.15997314,574.7800293
1253844000,574.09997559,582.84002686,574.09997559,582.84002686
1254103200,585.83001709,590.90997314,582.02001953,582.02001953
1254189600,582.08001709,587.86999512,581.22998047,582.59002686
1254276000,583.15997314,586.26000977,578.32000732,580.90002441
1254362400,581.79998779,581.79998779,568.98999023,568.98999023
